Reservoir_name,Date,Year,Month,Day,source_year,Storage,Level
ATAL SAGAR(MADIKHEDA),2024-04-14,2024,4,14,2024,,
ATAL SAGAR(MADIKHEDA),2024-04-15,2024,4,15,2024,,
ATAL SAGAR(MADIKHEDA),2024-04-16,2024,4,16,2024,,
ATAL SAGAR(MADIKHEDA),2024-04-17,2024,4,17,2024,,
ATAL SAGAR(MADIKHEDA),2024-04-18,2024,4,18,2024,0.16349,330.05
ATAL SAGAR(MADIKHEDA),2024-04-19,2024,4,19,2024,,
ATAL SAGAR(MADIKHEDA),2024-04-20,2024,4,20,2024,,
ATAL SAGAR(MADIKHEDA),2024-04-21,2024,4,21,2024,,
ATAL SAGAR(MADIKHEDA),2024-04-22,2024,4,22,2024,,
ATAL SAGAR(MADIKHEDA),2024-04-23,2024,4,23,2024,,
ATAL SAGAR(MADIKHEDA),2024-04-24,2024,4,24,2024,,
ATAL SAGAR(MADIKHEDA),2024-04-25,2024,4,25,2024,0.15864,329.85
ATAL SAGAR(MADIKHEDA),2024-04-26,2024,4,26,2024,,
ATAL SAGAR(MADIKHEDA),2024-04-27,2024,4,27,2024,,
ATAL SAGAR(MADIKHEDA),2024-04-28,2024,4,28,2024,,
ATAL SAGAR(MADIKHEDA),2024-04-29,2024,4,29,2024,,
ATAL SAGAR(MADIKHEDA),2024-04-30,2024,4,30,2024,,
ATAL SAGAR(MADIKHEDA),2024-05-01,2024,5,1,2024,,
ATAL SAGAR(MADIKHEDA),2024-05-02,2024,5,2,2024,0.15745,329.8
ATAL SAGAR(MADIKHEDA),2024-05-03,2024,5,3,2024,,
ATAL SAGAR(MADIKHEDA),2024-05-04,2024,5,4,2024,,
ATAL SAGAR(MADIKHEDA),2024-05-05,2024,5,5,2024,,
ATAL SAGAR(MADIKHEDA),2024-05-06,2024,5,6,2024,,
ATAL SAGAR(MADIKHEDA),2024-05-07,2024,5,7,2024,,
ATAL SAGAR(MADIKHEDA),2024-05-08,2024,5,8,2024,,
ATAL SAGAR(MADIKHEDA),2024-05-09,2024,5,9,2024,0.15625,329.75
ATAL SAGAR(MADIKHEDA),2024-05-10,2024,5,10,2024,,
ATAL SAGAR(MADIKHEDA),2024-05-11,2024,5,11,2024,,
ATAL SAGAR(MADIKHEDA),2024-05-12,2024,5,12,2024,,
ATAL SAGAR(MADIKHEDA),2024-05-13,2024,5,13,2024,,
ATAL SAGAR(MADIKHEDA),2024-05-14,2024,5,14,2024,,
ATAL SAGAR(MADIKHEDA),2024-05-15,2024,5,15,2024,,
ATAL SAGAR(MADIKHEDA),2024-05-16,2024,5,16,2024,0.15386,329.65
ATAL SAGAR(MADIKHEDA),2024-05-17,2024,5,17,2024,,
ATAL SAGAR(MADIKHEDA),2024-05-18,2024,5,18,2024,,
ATAL SAGAR(MADIKHEDA),2024-05-19,2024,5,19,2024,,
ATAL SAGAR(MADIKHEDA),2024-05-20,2024,5,20,2024,,
ATAL SAGAR(MADIKHEDA),2024-05-21,2024,5,21,2024,,
ATAL SAGAR(MADIKHEDA),2024-05-22,2024,5,22,2024,,
ATAL SAGAR(MADIKHEDA),2024-05-23,2024,5,23,2024,,
ATAL SAGAR(MADIKHEDA),2024-05-24,2024,5,24,2024,0.15256,329.6
ATAL SAGAR(MADIKHEDA),2024-05-25,2024,5,25,2024,,
ATAL SAGAR(MADIKHEDA),2024-05-26,2024,5,26,2024,,
ATAL SAGAR(MADIKHEDA),2024-05-27,2024,5,27,2024,,
ATAL SAGAR(MADIKHEDA),2024-05-28,2024,5,28,2024,,
ATAL SAGAR(MADIKHEDA),2024-05-29,2024,5,29,2024,,
ATAL SAGAR(MADIKHEDA),2024-05-30,2024,5,30,2024,0.15147,329.55
ATAL SAGAR(MADIKHEDA),2024-05-31,2024,5,31,2024,,
ATAL SAGAR(MADIKHEDA),2024-06-01,2024,6,1,2024,0.15147,329.55
ATAL SAGAR(MADIKHEDA),2024-06-02,2024,6,2,2024,,
ATAL SAGAR(MADIKHEDA),2024-06-03,2024,6,3,2024,,
ATAL SAGAR(MADIKHEDA),2024-06-04,2024,6,4,2024,,
ATAL SAGAR(MADIKHEDA),2024-06-05,2024,6,5,2024,,
ATAL SAGAR(MADIKHEDA),2024-06-06,2024,6,6,2024,0.15027,329.5
ATAL SAGAR(MADIKHEDA),2024-06-07,2024,6,7,2024,,
ATAL SAGAR(MADIKHEDA),2024-06-08,2024,6,8,2024,,
ATAL SAGAR(MADIKHEDA),2024-06-09,2024,6,9,2024,,
ATAL SAGAR(MADIKHEDA),2024-06-10,2024,6,10,2024,,
ATAL SAGAR(MADIKHEDA),2024-06-11,2024,6,11,2024,,
ATAL SAGAR(MADIKHEDA),2024-06-12,2024,6,12,2024,,
ATAL SAGAR(MADIKHEDA),2024-06-13,2024,6,13,2024,0.14907,329.45
ATAL SAGAR(MADIKHEDA),2024-06-14,2024,6,14,2024,,
ATAL SAGAR(MADIKHEDA),2024-06-15,2024,6,15,2024,,
ATAL SAGAR(MADIKHEDA),2024-06-16,2024,6,16,2024,,
ATAL SAGAR(MADIKHEDA),2024-06-17,2024,6,17,2024,,
ATAL SAGAR(MADIKHEDA),2024-06-18,2024,6,18,2024,,
ATAL SAGAR(MADIKHEDA),2024-06-19,2024,6,19,2024,,
ATAL SAGAR(MADIKHEDA),2024-06-20,2024,6,20,2024,0.14788,329.4
ATAL SAGAR(MADIKHEDA),2024-06-21,2024,6,21,2024,,
ATAL SAGAR(MADIKHEDA),2024-06-22,2024,6,22,2024,,
ATAL SAGAR(MADIKHEDA),2024-06-23,2024,6,23,2024,,
ATAL SAGAR(MADIKHEDA),2024-06-24,2024,6,24,2024,,
ATAL SAGAR(MADIKHEDA),2024-06-25,2024,6,25,2024,,
ATAL SAGAR(MADIKHEDA),2024-06-26,2024,6,26,2024,,
ATAL SAGAR(MADIKHEDA),2024-06-27,2024,6,27,2024,0.1467,329.35
ATAL SAGAR(MADIKHEDA),2024-06-28,2024,6,28,2024,,
ATAL SAGAR(MADIKHEDA),2024-06-29,2024,6,29,2024,,
ATAL SAGAR(MADIKHEDA),2024-06-30,2024,6,30,2024,,
ATAL SAGAR(MADIKHEDA),2024-07-01,2024,7,1,2024,,
ATAL SAGAR(MADIKHEDA),2024-07-02,2024,7,2,2024,,
ATAL SAGAR(MADIKHEDA),2024-07-03,2024,7,3,2024,,
ATAL SAGAR(MADIKHEDA),2024-07-04,2024,7,4,2024,0.14788,329.4
ATAL SAGAR(MADIKHEDA),2024-07-05,2024,7,5,2024,,
ATAL SAGAR(MADIKHEDA),2024-07-06,2024,7,6,2024,,
ATAL SAGAR(MADIKHEDA),2024-07-07,2024,7,7,2024,,
ATAL SAGAR(MADIKHEDA),2024-07-08,2024,7,8,2024,,
ATAL SAGAR(MADIKHEDA),2024-07-09,2024,7,9,2024,,
ATAL SAGAR(MADIKHEDA),2024-07-10,2024,7,10,2024,,
ATAL SAGAR(MADIKHEDA),2024-07-11,2024,7,11,2024,0.17359,330.45
ATAL SAGAR(MADIKHEDA),2024-07-12,2024,7,12,2024,,
ATAL SAGAR(MADIKHEDA),2024-07-13,2024,7,13,2024,,
ATAL SAGAR(MADIKHEDA),2024-07-14,2024,7,14,2024,,
ATAL SAGAR(MADIKHEDA),2024-07-15,2024,7,15,2024,,
ATAL SAGAR(MADIKHEDA),2024-07-16,2024,7,16,2024,,
ATAL SAGAR(MADIKHEDA),2024-07-17,2024,7,17,2024,,
ATAL SAGAR(MADIKHEDA),2024-07-18,2024,7,18,2024,0.18243,330.8
ATAL SAGAR(MADIKHEDA),2024-07-19,2024,7,19,2024,,
ATAL SAGAR(MADIKHEDA),2024-07-20,2024,7,20,2024,,
ATAL SAGAR(MADIKHEDA),2024-07-21,2024,7,21,2024,,
ATAL SAGAR(MADIKHEDA),2024-07-22,2024,7,22,2024,,
ATAL SAGAR(MADIKHEDA),2024-07-23,2024,7,23,2024,,
