Reservoir_name,Basin,Agency_name,Lat,Long,Full_reservoir_level,Live_capacity_FRL
ATAL SAGAR(MADIKHEDA),Ganga Basin,CWC,25.5555556,77.8527778,346.25,0.835
Aliyar Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,CWC,10.47266817,76.97459708,320.04,0.095
Almatti Reservoir,Krishna Basin,CWC,16.34679294,75.73004306,519.6,3.105
BARVI DAM,West flowing rivers from Tapi to Tadri Basin,CWC,19.1894444,73.3361111,72.6,0.339
BHAMA ASKHED,Krishna Basin,CWC,18.846055,73.688113,671.5,0.217
Balimela Reservoir,Godavari Basin,CWC,18.22494359,82.20423569,462.08,2.676
Ban Sagar,Ganga Basin,CWC,24.11161168,81.09238214,341.64,5.166
Bargi\Rani Avanti Bai Sagar,Narmada Basin,CWC,22.83846247,80.03685961,422.76,3.18
Barna,Narmada Basin,CWC,23.07370541,78.03031691,348.55,0.456
Bhadar Reservoir,West flowing rivers of Kutch and Saurashtra including Luni Basin,CWC,21.81878581,70.80816294,107.89,0.188
Bhadra Reservoir,Krishna Basin,CWC,13.64683326,75.57523868,657.76,1.785
Bhandardara,Godavari Basin,CWC,19.53360841,73.73667121,744.91,0.304
Bhatghar,Krishna Basin,CWC,18.19950638,73.77891971,623.28,0.673
Bhatsa,West flowing rivers from Tapi to Tadri Basin,CWC,19.53243081,73.44134616,142.07,0.942
Bhima\Ujjani Reservoir,Krishna Basin,CWC,18.20876823,75.0103563,496.83,1.517
Bisalpur,Ganga Basin,CWC,25.9246602,75.453854,315.5,1.076
Brahmani-I,West flowing rivers of Kutch and Saurashtra including Luni Basin,CWC,22.87800273,71.14656594,64.62,0.071
CHANDAN DAM,Ganga Basin,CWC,24.6780574,86.917022,152.39,0.136
CHASKAMAN,Krishna Basin,CWC,18.2611111,73.7875,649.53,0.125
DARNA DAM,Godavari Basin,CWC,19.8,73.75,571.5,0.202
DIMBHE DAM,Krishna Basin,CWC,19.0968056,73.7418611,719.15,0.354
DONKARAYI,Godavari Basin,CWC,17.9347222,81.7941667,316.08,0.376
Damanganga Reservoir,West flowing rivers from Tapi to Tadri Basin,CWC,20.18421909,73.1118834,79.86,0.502
Dantiwada Reservoir,West flowing rivers of Kutch and Saurashtra including Luni Basin,CWC,24.33018862,72.38876378,184.1,0.399
Dhom,Krishna Basin,CWC,17.97878716,73.7854294,747.7,0.331
Doyang Hep,Brahamaputra Basin,CWC,26.22664352,94.29556638,333.0,0.5351
Dudhawa,Mahanadi Basin,CWC,20.3062635,81.7741343,425.1,0.284
Dudhganga,Krishna Basin,CWC,16.31720783,73.97231364,646.0,0.664
GETALSUD,Subernarekha,CWC,23.4333333,85.55,590.06,0.218
Gandhi Sagar,Ganga Basin,CWC,24.52716485,75.56271289,399.9,6.827
Gerusoppa Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,CWC,14.25619412,74.70576516,55.0,0.13
GhatPrabha\Hidkal Reservoir,Krishna Basin,CWC,16.13146866,74.59531002,662.95,1.391
Girna Reservoir,Tapi Basin,CWC,20.49190037,74.68355397,398.07,0.524
Gobind Sagar-Bhakra Reservoir,Indus (Up to border) Basin,CWC,31.38855077,76.53720479,512.06,6.229
Gumti Reservoir,Barak and Others Basin,CWC,23.47696886,91.84886953,93.55,0.3121
HARIHARJHOR,Mahanadi Basin,CWC,21.0333333,84.0333333,147.5,0.059
Harangi Reservoir,Cauvery Basin,CWC,12.49243766,75.87487265,871.42,0.22
Hathmati,Sabarmati Basin,CWC,23.71012116,73.20770095,180.74,0.153
Hemavathy Reservoir,Cauvery Basin,CWC,12.82820487,76.00971821,890.63,0.927
Hirakud Reservoir,Mahanadi Basin,CWC,21.63383268,83.80547031,192.02,5.378
Idamalayar Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,CWC,10.24545527,76.74690313,169.0,1.018
Idukki Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,CWC,9.78847361,76.97474677,732.43,1.46
Indira Sagar,Narmada Basin,CWC,22.19722862,76.65599861,262.13,9.745
Isapur Reservoir,Godavari Basin,CWC,19.77413873,77.37657599,441.0,0.965
JAISAMAND,Mahi Basin,CWC,24.2416667,73.9527778,295.54,0.296
JAWAI DAM,West flowing rivers of Kutch and Saurashtra including Luni Basin,CWC,25.1111111,73.1611111,313.4,0.193
Jayakwadi\Nath Sagar,Godavari Basin,CWC,19.52917218,75.24566805,463.91,2.171
Jhakam Reservoir,Mahi Basin,CWC,24.16180454,74.62252237,359.5,0.132
Jirgo Dam,Ganga Basin,CWC,25.0267409,82.9311989,98.2,0.147
KADDAM (K.N.R.),Godavari Basin,CWC,19.11666667,78.78333333,213.36,0.137
KANDALERU,East flowing rivers between Pennar and Kanyakumari Basin,CWC,14.3333333,79.6166667,85.0,1.792
KHANDONG,Brahmaputra Basin,CWC,25.528424,92.632903,725.0,0.18
Kabini Reservoir,Cauvery Basin,CWC,11.95500864,76.2867207,696.66,0.444
Kadana Reservoir,Mahi Basin,CWC,23.34196607,73.89320231,127.7,1.472
Kakki Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,CWC,9.30465879,77.16754045,981.46,0.447
Kallada Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,CWC,8.92000098,77.12459672,115.82,0.507
Kangsabati Reservoir,Ganga Basin,CWC,22.97855586,86.72104725,134.14,0.914
Kanher Dam,Krishna Basin,CWC,17.758849,73.872011,690.78,0.272
Karjan Reservoir,Narmada Basin,CWC,21.77573622,73.53228855,115.25,0.523
Khadakwasla Reservoir,Krishna Basin,CWC,18.4148564,73.73248902,582.47,0.06
Kol Dam,Indus (Up to border) Basin,CWC,31.383056,76.868917,642.0,0.089
Kolar,Narmada Basin,CWC,22.95433708,77.29432532,462.2,0.27
Konar Reservoir,Ganga Basin,CWC,23.94457917,85.74669073,425.81,0.176
Koyana/Shivaji Sagar,Krishna Basin,CWC,17.59996426,73.74860196,657.9,2.652
Krishnaraja Sagar,Cauvery Basin,CWC,12.46102452,76.48916788,752.5,1.163
Linganamakki Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,CWC,14.03563915,74.92879915,554.43,4.294
Lower Bhawani \ Bhavanisagar Reservoir,Cauvery Basin,CWC,11.44347832,77.06863102,278.89,0.792
Lower Manair\G.V.Sudhakar Rao Reservoir,Godavari Basin,CWC,18.38429509,79.10782049,280.42,0.621
MANDIRA DAM,Brahmani and Baitarni Basin,CWC,22.2666667,84.6666667,210.31,0.309
MAUDAHA,Ganga Basin,CWC,25.6,79.7083333,147.8,0.179
MEJA,Ganga Basin,CWC,24.8533333,82.3997222,178.0,0.299
MUSI PROJECT,Krishna Basin,CWC,17.23333333,79.51972222,196.6,0.123
Machhu I,West flowing rivers of Kutch and Saurashtra including Luni Basin,CWC,22.44546947,70.95697488,135.33,0.071
Machhu II,West flowing rivers of Kutch and Saurashtra including Luni Basin,CWC,22.74131643,70.88602111,57.3,0.091
Machkund\Jalaput Reservoir,Godavari Basin,CWC,18.40098918,82.59091709,838.16,0.893
Mahanadi\Ravishankar Sagar,Mahanadi Basin,CWC,20.56924425,81.52032265,348.7,0.767
Mahi Bajaj Sagar,Mahi Basin,CWC,23.56591534,74.56320292,280.75,1.711
Maithon Reservoir,Ganga Basin,CWC,23.83173749,86.80262006,146.3,0.471
Malampuzha,West flowing rivers from Tadri to Kanyakumari Basin,CWC,10.8476441,76.68945355,115.06,0.224
Malaprabha Reservoir,Krishna Basin,CWC,15.79144906,75.01899439,633.83,0.972
Mani Dam,West flowing rivers from Tadri to Kanyakumari Basin,CWC,13.6766317,75.0490642,594.36,0.884
Manikdoh,Krishna Basin,CWC,19.24842931,73.77241196,711.25,0.288
Matatila Reservoir,Ganga Basin,CWC,25.05884303,78.33251496,308.46,0.707
Mayurakshi\Masanjor Reservoir,Ganga Basin,CWC,24.15179111,87.29415256,121.31,0.48
Mettur Reservoir,Cauvery Basin,CWC,11.88628855,77.80504448,240.79,2.647
Minimata Bangoi\Hasdeo Reservoir,Mahanadi Basin,CWC,22.71839958,82.62489835,359.66,3.046
Mula Reservoir,Godavari Basin,CWC,19.32221516,74.54011693,552.3,0.609
Mulshi Dam,Krishna Basin,CWC,18.5360904,73.4094057,607.1,0.572
NANAK SAGAR,Ganga Basin,CWC,28.9555556,79.8416667,215.19,0.176
Nagarjuna Sagar,Krishna Basin,CWC,16.52522701,79.21965887,179.83,5.108
Narayanapura Reservoir,Krishna Basin,CWC,16.17832419,76.25396485,492.25,0.863
Niradevghar,Krishna Basin,CWC,18.09545067,73.69000174,667.1,0.332
Nizam sagar,Godavari Basin,CWC,18.8989005,78.3272625,428.24,0.482
Omkareshwar,Narmada Basin,CWC,22.2501207,76.21613645,196.6,0.299
PANSHET(TANAJISAGAR),Krishna Basin,CWC,18.3666667,73.5833333,636.27,0.312
PRIYADARSHINI JURALA,Krishna Basin,CWC,16.3375,77.7041667,318.52,0.168
Panam Reservoir,Mahi Basin,CWC,23.02265456,73.76883417,127.41,0.697
Panchat Reservoir,Ganga Basin,CWC,23.6735842,86.68314879,124.97,0.184
Parambikulam Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,CWC,10.38445123,76.80733579,556.26,0.38
Pench\Totladoh Reservoir,Godavari Basin,CWC,21.71326462,79.23004421,490.0,1.091
Periyar Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,CWC,9.53495932,77.19160638,867.41,0.173
Pong Reservoir,Indus (Up to border) Basin,CWC,31.99344125,76.0517408,423.67,6.157
RAJGHAT DAM,Ganga Basin,CWC,24.752562,78.21086,370.89,1.945
RANGAWAN,Ganga Basin,CWC,24.69691,79.86597,233.17,0.155
RIHAND RESERVOIR,Ganga Basin,CWC,24.136551,82.833914,268.22,5.649
Ramganga Reservoir,Ganga Basin,CWC,29.57925961,78.75979721,365.3,2.196
Ranapratap Sagar,Ganga Basin,CWC,24.79033041,75.54794792,352.81,1.436
Rengali Reservoir,Brahmani and Baitarni Basin,CWC,21.37482631,84.98933328,123.5,3.432
SATHANUR,East flowing rivers between Pennar and Kanyakumari Basin,CWC,12.1836111,78.8502778,222.2,0.207
SIRSI,Ganga Basin,CWC,24.8269444,82.4938889,217.93,0.19
SURYA,West flowing rivers from Tapi to Tadri Basin,CWC,19.9208333,73.0555556,118.6,0.276
Sabarmati Reservoir,Sabarmati Basin,CWC,24.02898674,72.91530995,189.59,0.735
Salandi Reservoir,Brahmani and Baitarni Basin,CWC,21.32763959,86.28440724,82.3,0.558
Sanjay Sarovar (Upper Wainganga),Godavari Basin,CWC,22.35381177,79.60332911,519.38,0.508
Sapua,Mahanadi Basin,CWC,20.58898286,85.286984,168.5,0.006
Sardar Sarovar,Narmada Basin,CWC,21.86921399,73.90418486,138.68,5.76
Sharda Sagar,Ganga Basin,CWC,28.7811109,80.0183861,190.5,0.33
Shetrunji Reservoir,West flowing rivers of Kutch and Saurashtra including Luni Basin,CWC,21.43521754,71.74916361,55.53,0.3
Sholayar Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,CWC,10.32047051,76.90271502,1002.79,0.143
Singur,Godavari Basin,CWC,17.7575285,77.9149039,523.6,0.822
