Reservoir_name,Basin,subbasin,Agency_name,Lat,Long,Date,Year,Month,Full_reservoir_level,Live_capacity_FRL,Storage,Level
Sukhi Tank,Narmada Basin,NA,CWC,22.45124369,73.88506045,2023-01-25,2023,01,147.82,0.167,NA,NA
Sukhi Tank,Narmada Basin,NA,CWC,22.45124369,73.88506045,2023-01-26,2023,01,147.82,0.167,NA,NA
Supa Reservoir,West flowing rivers from Tapi to Tadri Basin,NA,CWC,15.2579957,74.47101416,2023-01-11,2023,01,564.0,4.12,2.51902,549.23
Supa Reservoir,West flowing rivers from Tapi to Tadri Basin,NA,CWC,15.2579957,74.47101416,2023-01-17,2023,01,564.0,4.12,2.46032,548.6
Supa Reservoir,West flowing rivers from Tapi to Tadri Basin,NA,CWC,15.2579957,74.47101416,2023-01-26,2023,01,564.0,4.12,NA,NA
Supa Reservoir,West flowing rivers from Tapi to Tadri Basin,NA,CWC,15.2579957,74.47101416,2023-01-28,2023,01,564.0,4.12,2.40542,547.99
Supa Reservoir,West flowing rivers from Tapi to Tadri Basin,NA,CWC,15.2579957,74.47101416,2023-01-30,2023,01,564.0,4.12,2.39282,547.85
Supa Reservoir,West flowing rivers from Tapi to Tadri Basin,NA,CWC,15.2579957,74.47101416,2023-01-31,2023,01,564.0,4.12,2.3802,547.71
Tattihalla,West flowing rivers from Tapi to Tadri Basin,NA,CWC,15.1322184,74.7888706,2023-01-01,2023,01,468.3,0.249,0.03364,455.17
Tattihalla,West flowing rivers from Tapi to Tadri Basin,NA,CWC,15.1322184,74.7888706,2023-01-05,2023,01,468.3,0.249,0.02611,454.21
Tattihalla,West flowing rivers from Tapi to Tadri Basin,NA,CWC,15.1322184,74.7888706,2023-01-06,2023,01,468.3,0.249,0.02435,453.98
Tattihalla,West flowing rivers from Tapi to Tadri Basin,NA,CWC,15.1322184,74.7888706,2023-01-11,2023,01,468.3,0.249,0.01667,452.85
Tattihalla,West flowing rivers from Tapi to Tadri Basin,NA,CWC,15.1322184,74.7888706,2023-01-25,2023,01,468.3,0.249,NA,NA
Tawa Reservoir,Narmada Basin,NA,CWC,22.50906232,77.9962712,2023-01-08,2023,01,355.4,1.944,1.513,352.41
Tawa Reservoir,Narmada Basin,NA,CWC,22.50906232,77.9962712,2023-01-10,2023,01,355.4,1.944,1.499,352.318
Tawa Reservoir,Narmada Basin,NA,CWC,22.50906232,77.9962712,2023-01-14,2023,01,355.4,1.944,1.447,351.983
Tawa Reservoir,Narmada Basin,NA,CWC,22.50906232,77.9962712,2023-01-15,2023,01,355.4,1.944,1.435,351.922
Tawa Reservoir,Narmada Basin,NA,CWC,22.50906232,77.9962712,2023-01-19,2023,01,355.4,1.944,1.391,351.617
Tawa Reservoir,Narmada Basin,NA,CWC,22.50906232,77.9962712,2023-01-20,2023,01,355.4,1.944,NA,NA
Tawa Reservoir,Narmada Basin,NA,CWC,22.50906232,77.9962712,2023-01-23,2023,01,355.4,1.944,NA,NA
Tawa Reservoir,Narmada Basin,NA,CWC,22.50906232,77.9962712,2023-01-25,2023,01,355.4,1.944,1.295,350.922
Tawa Reservoir,Narmada Basin,NA,CWC,22.50906232,77.9962712,2023-01-26,2023,01,355.4,1.944,NA,NA
Tehri Reservoir,Ganga Basin,NA,CWC,30.43921006,78.45546181,2023-01-04,2023,01,830.0,2.615,NA,NA
Tehri Reservoir,Ganga Basin,NA,CWC,30.43921006,78.45546181,2023-01-08,2023,01,830.0,2.615,NA,NA
Tehri Reservoir,Ganga Basin,NA,CWC,30.43921006,78.45546181,2023-01-12,2023,01,830.0,2.615,1.8485,810.55
Tehri Reservoir,Ganga Basin,NA,CWC,30.43921006,78.45546181,2023-01-14,2023,01,830.0,2.615,NA,NA
Tehri Reservoir,Ganga Basin,NA,CWC,30.43921006,78.45546181,2023-01-20,2023,01,830.0,2.615,NA,NA
Tehri Reservoir,Ganga Basin,NA,CWC,30.43921006,78.45546181,2023-01-31,2023,01,830.0,2.615,NA,NA
Tenughat Reservoir,Ganga Basin,NA,CWC,23.72685714,85.79171034,2023-01-01,2023,01,269.14,0.821,0.437,260.5
Tenughat Reservoir,Ganga Basin,NA,CWC,23.72685714,85.79171034,2023-01-04,2023,01,269.14,0.821,0.436,260.48
Tenughat Reservoir,Ganga Basin,NA,CWC,23.72685714,85.79171034,2023-01-08,2023,01,269.14,0.821,0.435,260.44
Tenughat Reservoir,Ganga Basin,NA,CWC,23.72685714,85.79171034,2023-01-10,2023,01,269.14,0.821,0.434,260.42
Tenughat Reservoir,Ganga Basin,NA,CWC,23.72685714,85.79171034,2023-01-12,2023,01,269.14,0.821,0.434,260.42
Tenughat Reservoir,Ganga Basin,NA,CWC,23.72685714,85.79171034,2023-01-15,2023,01,269.14,0.821,0.432,260.38
Tenughat Reservoir,Ganga Basin,NA,CWC,23.72685714,85.79171034,2023-01-23,2023,01,269.14,0.821,0.428,260.27
Tenughat Reservoir,Ganga Basin,NA,CWC,23.72685714,85.79171034,2023-01-26,2023,01,269.14,0.821,0.427,260.25
Thein\Ranjit Sagar,Indus (Up to border) Basin,NA,CWC,32.48447018,75.76540312,2023-01-02,2023,01,527.91,2.344,1.507,516.7
Thein\Ranjit Sagar,Indus (Up to border) Basin,NA,CWC,32.48447018,75.76540312,2023-01-05,2023,01,527.91,2.344,NA,NA
Thein\Ranjit Sagar,Indus (Up to border) Basin,NA,CWC,32.48447018,75.76540312,2023-01-07,2023,01,527.91,2.344,1.477,516.07
Thein\Ranjit Sagar,Indus (Up to border) Basin,NA,CWC,32.48447018,75.76540312,2023-01-08,2023,01,527.91,2.344,1.477,515.94
Thein\Ranjit Sagar,Indus (Up to border) Basin,NA,CWC,32.48447018,75.76540312,2023-01-10,2023,01,527.91,2.344,1.446,515.7
Thein\Ranjit Sagar,Indus (Up to border) Basin,NA,CWC,32.48447018,75.76540312,2023-01-13,2023,01,527.91,2.344,1.416,514.9
Thein\Ranjit Sagar,Indus (Up to border) Basin,NA,CWC,32.48447018,75.76540312,2023-01-15,2023,01,527.91,2.344,1.386,514.37
Thein\Ranjit Sagar,Indus (Up to border) Basin,NA,CWC,32.48447018,75.76540312,2023-01-19,2023,01,527.91,2.344,1.318,513.36
Thein\Ranjit Sagar,Indus (Up to border) Basin,NA,CWC,32.48447018,75.76540312,2023-01-22,2023,01,527.91,2.344,1.294,512.95
Thein\Ranjit Sagar,Indus (Up to border) Basin,NA,CWC,32.48447018,75.76540312,2023-01-28,2023,01,527.91,2.344,1.318,513.37
Thokarwadi,Krishna Basin,NA,CWC,18.9048356,73.4848537,2023-01-07,2023,01,667.14,0.353,0.2642,663.86
Thokarwadi,Krishna Basin,NA,CWC,18.9048356,73.4848537,2023-01-16,2023,01,667.14,0.353,NA,NA
Thokarwadi,Krishna Basin,NA,CWC,18.9048356,73.4848537,2023-01-17,2023,01,667.14,0.353,NA,NA
Thokarwadi,Krishna Basin,NA,CWC,18.9048356,73.4848537,2023-01-27,2023,01,667.14,0.353,0.2467,663.12
Tilaiya Reservoir,Ganga Basin,NA,CWC,24.33826227,85.43542012,2023-01-10,2023,01,368.81,0.142,0.08,366.99
Tilaiya Reservoir,Ganga Basin,NA,CWC,24.33826227,85.43542012,2023-01-12,2023,01,368.81,0.142,0.08,366.94
Tilaiya Reservoir,Ganga Basin,NA,CWC,24.33826227,85.43542012,2023-01-13,2023,01,368.81,0.142,0.078,366.91
Tilaiya Reservoir,Ganga Basin,NA,CWC,24.33826227,85.43542012,2023-01-15,2023,01,368.81,0.142,0.077,366.85
Tungabhadra Reservoir,Krishna Basin,NA,CWC,15.21986396,76.27456493,2023-01-03,2023,01,497.74,3.276,2.08824,495.04
Tungabhadra Reservoir,Krishna Basin,NA,CWC,15.21986396,76.27456493,2023-01-16,2023,01,497.74,3.276,1.80092,494.02
Tungabhadra Reservoir,Krishna Basin,NA,CWC,15.21986396,76.27456493,2023-01-17,2023,01,497.74,3.276,1.7759,493.93
Tungabhadra Reservoir,Krishna Basin,NA,CWC,15.21986396,76.27456493,2023-01-19,2023,01,497.74,3.276,1.72776,493.74
Tungabhadra Reservoir,Krishna Basin,NA,CWC,15.21986396,76.27456493,2023-01-21,2023,01,497.74,3.276,1.68243,493.57
Tungabhadra Reservoir,Krishna Basin,NA,CWC,15.21986396,76.27456493,2023-01-26,2023,01,497.74,3.276,1.57611,493.14
Tungabhadra Reservoir,Krishna Basin,NA,CWC,15.21986396,76.27456493,2023-01-29,2023,01,497.74,3.276,1.51257,492.87
Ukai Reservoir,Tapi Basin,NA,CWC,21.35061945,73.80721399,2023-01-02,2023,01,105.16,6.615,NA,NA
Ukai Reservoir,Tapi Basin,NA,CWC,21.35061945,73.80721399,2023-01-03,2023,01,105.16,6.615,NA,NA
Ukai Reservoir,Tapi Basin,NA,CWC,21.35061945,73.80721399,2023-01-04,2023,01,105.16,6.615,NA,NA
Ukai Reservoir,Tapi Basin,NA,CWC,21.35061945,73.80721399,2023-01-05,2023,01,105.16,6.615,5.72958,103.425
Ukai Reservoir,Tapi Basin,NA,CWC,21.35061945,73.80721399,2023-01-09,2023,01,105.16,6.615,NA,NA
Ukai Reservoir,Tapi Basin,NA,CWC,21.35061945,73.80721399,2023-01-13,2023,01,105.16,6.615,NA,NA
Ukai Reservoir,Tapi Basin,NA,CWC,21.35061945,73.80721399,2023-01-14,2023,01,105.16,6.615,NA,NA
Ukai Reservoir,Tapi Basin,NA,CWC,21.35061945,73.80721399,2023-01-15,2023,01,105.16,6.615,NA,NA
Ukai Reservoir,Tapi Basin,NA,CWC,21.35061945,73.80721399,2023-01-21,2023,01,105.16,6.615,NA,NA
Ukai Reservoir,Tapi Basin,NA,CWC,21.35061945,73.80721399,2023-01-22,2023,01,105.16,6.615,NA,NA
Ukai Reservoir,Tapi Basin,NA,CWC,21.35061945,73.80721399,2023-01-28,2023,01,105.16,6.615,NA,NA
Und I,West flowing rivers of Kutch and Saurashtra including Luni Basin,NA,CWC,22.38438192,70.40304333,2023-01-05,2023,01,98.0,0.066,0.05074,96.91
Und I,West flowing rivers of Kutch and Saurashtra including Luni Basin,NA,CWC,22.38438192,70.40304333,2023-01-09,2023,01,98.0,0.066,NA,NA
Und I,West flowing rivers of Kutch and Saurashtra including Luni Basin,NA,CWC,22.38438192,70.40304333,2023-01-18,2023,01,98.0,0.066,0.04606,96.53
Und I,West flowing rivers of Kutch and Saurashtra including Luni Basin,NA,CWC,22.38438192,70.40304333,2023-01-21,2023,01,98.0,0.066,NA,NA
Und I,West flowing rivers of Kutch and Saurashtra including Luni Basin,NA,CWC,22.38438192,70.40304333,2023-01-22,2023,01,98.0,0.066,NA,NA
Und I,West flowing rivers of Kutch and Saurashtra including Luni Basin,NA,CWC,22.38438192,70.40304333,2023-01-27,2023,01,98.0,0.066,NA,NA
Upper Indrawati Reservoir,Godavari Basin,NA,CWC,19.23634733,82.82597886,2023-01-05,2023,01,642.0,1.456,NA,NA
Upper Indrawati Reservoir,Godavari Basin,NA,CWC,19.23634733,82.82597886,2023-01-07,2023,01,642.0,1.456,NA,NA
Upper Indrawati Reservoir,Godavari Basin,NA,CWC,19.23634733,82.82597886,2023-01-09,2023,01,642.0,1.456,NA,NA
Upper Indrawati Reservoir,Godavari Basin,NA,CWC,19.23634733,82.82597886,2023-01-10,2023,01,642.0,1.456,NA,NA
Upper Kolab Reservoir,Godavari Basin,NA,CWC,18.73049171,82.67554297,2023-01-05,2023,01,858.0,0.935,NA,NA
Upper Kolab Reservoir,Godavari Basin,NA,CWC,18.73049171,82.67554297,2023-01-19,2023,01,858.0,0.935,0.649,854.97
Upper Kolab Reservoir,Godavari Basin,NA,CWC,18.73049171,82.67554297,2023-01-20,2023,01,858.0,0.935,NA,NA
Upper Kolab Reservoir,Godavari Basin,NA,CWC,18.73049171,82.67554297,2023-01-26,2023,01,858.0,0.935,NA,NA
Upper Kolab Reservoir,Godavari Basin,NA,CWC,18.73049171,82.67554297,2023-01-30,2023,01,858.0,0.935,NA,NA
Upper Tapi\Hatnur Reservoir,Tapi Basin,NA,CWC,21.0927119,76.01484897,2023-01-01,2023,01,214.0,0.255,NA,NA
Upper Tapi\Hatnur Reservoir,Tapi Basin,NA,CWC,21.0927119,76.01484897,2023-01-14,2023,01,214.0,0.255,0.237,213.7
Upper Tapi\Hatnur Reservoir,Tapi Basin,NA,CWC,21.0927119,76.01484897,2023-01-16,2023,01,214.0,0.255,0.2352,213.67
Upper Tapi\Hatnur Reservoir,Tapi Basin,NA,CWC,21.0927119,76.01484897,2023-01-20,2023,01,214.0,0.255,0.234,213.65
Upper Tapi\Hatnur Reservoir,Tapi Basin,NA,CWC,21.0927119,76.01484897,2023-01-25,2023,01,214.0,0.255,0.232,213.62
Upper Tapi\Hatnur Reservoir,Tapi Basin,NA,CWC,21.0927119,76.01484897,2023-01-28,2023,01,214.0,0.255,0.2292,213.57
Upper Vaitarana Reservoir,West flowing rivers from Tapi to Tadri Basin,NA,CWC,19.82196378,73.54032901,2023-01-01,2023,01,603.5,0.331,0.32225,603.18
Upper Vaitarana Reservoir,West flowing rivers from Tapi to Tadri Basin,NA,CWC,19.82196378,73.54032901,2023-01-06,2023,01,603.5,0.331,0.32168,603.17
Upper Vaitarana Reservoir,West flowing rivers from Tapi to Tadri Basin,NA,CWC,19.82196378,73.54032901,2023-01-09,2023,01,603.5,0.331,0.32111,603.15
Upper Vaitarana Reservoir,West flowing rivers from Tapi to Tadri Basin,NA,CWC,19.82196378,73.54032901,2023-01-14,2023,01,603.5,0.331,0.32055,603.14
Upper Vaitarana Reservoir,West flowing rivers from Tapi to Tadri Basin,NA,CWC,19.82196378,73.54032901,2023-01-15,2023,01,603.5,0.331,0.32055,603.14
Upper Vaitarana Reservoir,West flowing rivers from Tapi to Tadri Basin,NA,CWC,19.82196378,73.54032901,2023-01-19,2023,01,603.5,0.331,NA,NA
Upper Vaitarana Reservoir,West flowing rivers from Tapi to Tadri Basin,NA,CWC,19.82196378,73.54032901,2023-01-23,2023,01,603.5,0.331,0.31488,602.99
Upper Vaitarana Reservoir,West flowing rivers from Tapi to Tadri Basin,NA,CWC,19.82196378,73.54032901,2023-01-28,2023,01,603.5,0.331,0.31099,602.88
Upper Wardha Reservoir,Godavari Basin,NA,CWC,21.31909859,78.08561676,2023-01-02,2023,01,342.5,0.564,0.44468,341.1
Upper Wardha Reservoir,Godavari Basin,NA,CWC,21.31909859,78.08561676,2023-01-03,2023,01,342.5,0.564,0.4423,341.07
Upper Wardha Reservoir,Godavari Basin,NA,CWC,21.31909859,78.08561676,2023-01-06,2023,01,342.5,0.564,0.43834,341.02
