Reservoir_name,Basin,subbasin,Agency_name,Lat,Long,Date,Year,Month,Full_reservoir_level,Live_capacity_FRL,Storage,Level
BARVI DAM,West flowing rivers from Tapi to Tadri Basin,NA,CWC,19.1894444,73.3361111,2024-06-27,2024,06,72.6,0.339,0.0855,58.71
BHAMA ASKHED,Krishna Basin,NA,CWC,18.846055,73.688113,2024-06-03,2024,06,671.5,0.217,NA,NA
BHAMA ASKHED,Krishna Basin,NA,CWC,18.846055,73.688113,2024-06-15,2024,06,671.5,0.217,NA,NA
BHAMA ASKHED,Krishna Basin,NA,CWC,18.846055,73.688113,2024-06-23,2024,06,671.5,0.217,NA,NA
BHAMA ASKHED,Krishna Basin,NA,CWC,18.846055,73.688113,2024-06-27,2024,06,671.5,0.217,0.03098,653.18
Balimela Reservoir,Godavari Basin,NA,CWC,18.22494359,82.20423569,2024-06-02,2024,06,462.08,2.676,NA,NA
Balimela Reservoir,Godavari Basin,NA,CWC,18.22494359,82.20423569,2024-06-03,2024,06,462.08,2.676,NA,NA
Balimela Reservoir,Godavari Basin,NA,CWC,18.22494359,82.20423569,2024-06-08,2024,06,462.08,2.676,NA,NA
Balimela Reservoir,Godavari Basin,NA,CWC,18.22494359,82.20423569,2024-06-11,2024,06,462.08,2.676,NA,NA
Balimela Reservoir,Godavari Basin,NA,CWC,18.22494359,82.20423569,2024-06-12,2024,06,462.08,2.676,NA,NA
Balimela Reservoir,Godavari Basin,NA,CWC,18.22494359,82.20423569,2024-06-16,2024,06,462.08,2.676,NA,NA
Balimela Reservoir,Godavari Basin,NA,CWC,18.22494359,82.20423569,2024-06-18,2024,06,462.08,2.676,NA,NA
Balimela Reservoir,Godavari Basin,NA,CWC,18.22494359,82.20423569,2024-06-20,2024,06,462.08,2.676,0.322,443.392
Balimela Reservoir,Godavari Basin,NA,CWC,18.22494359,82.20423569,2024-06-21,2024,06,462.08,2.676,NA,NA
Balimela Reservoir,Godavari Basin,NA,CWC,18.22494359,82.20423569,2024-06-22,2024,06,462.08,2.676,NA,NA
Balimela Reservoir,Godavari Basin,NA,CWC,18.22494359,82.20423569,2024-06-30,2024,06,462.08,2.676,NA,NA
Ban Sagar,Ganga Basin,NA,CWC,24.11161168,81.09238214,2024-06-01,2024,06,341.64,5.166,2.12859,333.72
Ban Sagar,Ganga Basin,NA,CWC,24.11161168,81.09238214,2024-06-03,2024,06,341.64,5.166,NA,NA
Ban Sagar,Ganga Basin,NA,CWC,24.11161168,81.09238214,2024-06-04,2024,06,341.64,5.166,NA,NA
